employee_id,predicted_probability,predicted_enrollment,risk_category,recommended_action
10933,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
16492,0.98,1,Low Risk,Standard enrollment notification
11975,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
11946,0.24,0,High Risk,Personalized phone call with HR and benefits explanation
16945,1.0,1,Low Risk,Standard enrollment notification
11421,0.81,1,Low Risk,Standard enrollment notification
11537,0.99,1,Low Risk,Standard enrollment notification
17728,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17354,1.0,1,Low Risk,Standard enrollment notification
17683,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
16535,0.98,1,Low Risk,Standard enrollment notification
19807,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18620,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10226,0.95,1,Low Risk,Standard enrollment notification
15673,0.97,1,Low Risk,Standard enrollment notification
11031,0.99,1,Low Risk,Standard enrollment notification
11072,1.0,1,Low Risk,Standard enrollment notification
19424,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12557,0.99,1,Low Risk,Standard enrollment notification
14761,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18257,1.0,1,Low Risk,Standard enrollment notification
15077,1.0,1,Low Risk,Standard enrollment notification
18980,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
18540,0.99,1,Low Risk,Standard enrollment notification
11350,1.0,1,Low Risk,Standard enrollment notification
18091,0.98,1,Low Risk,Standard enrollment notification
15952,1.0,1,Low Risk,Standard enrollment notification
18113,0.99,1,Low Risk,Standard enrollment notification
19056,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17905,0.98,1,Low Risk,Standard enrollment notification
13562,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
12766,0.97,1,Low Risk,Standard enrollment notification
19535,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12493,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
18426,1.0,1,Low Risk,Standard enrollment notification
19673,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16507,1.0,1,Low Risk,Standard enrollment notification
11126,0.95,1,Low Risk,Standard enrollment notification
10244,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16140,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12013,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
14930,0.18,0,High Risk,Personalized phone call with HR and benefits explanation
16754,1.0,1,Low Risk,Standard enrollment notification
19100,0.84,1,Low Risk,Standard enrollment notification
18444,0.94,1,Low Risk,Standard enrollment notification
11217,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
19309,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
15172,0.99,1,Low Risk,Standard enrollment notification
12959,0.98,1,Low Risk,Standard enrollment notification
13350,0.99,1,Low Risk,Standard enrollment notification
16282,1.0,1,Low Risk,Standard enrollment notification
17836,1.0,1,Low Risk,Standard enrollment notification
14364,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19208,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16353,1.0,1,Low Risk,Standard enrollment notification
17355,0.98,1,Low Risk,Standard enrollment notification
10283,0.99,1,Low Risk,Standard enrollment notification
17818,1.0,1,Low Risk,Standard enrollment notification
19839,1.0,1,Low Risk,Standard enrollment notification
18046,1.0,1,Low Risk,Standard enrollment notification
14403,0.84,1,Low Risk,Standard enrollment notification
18469,0.91,1,Low Risk,Standard enrollment notification
13439,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14157,0.16,0,High Risk,Personalized phone call with HR and benefits explanation
15346,1.0,1,Low Risk,Standard enrollment notification
15578,0.98,1,Low Risk,Standard enrollment notification
12679,0.98,1,Low Risk,Standard enrollment notification
15797,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13077,0.99,1,Low Risk,Standard enrollment notification
14552,0.15,0,High Risk,Personalized phone call with HR and benefits explanation
15367,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
12153,0.97,1,Low Risk,Standard enrollment notification
13703,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
17781,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
17077,0.94,1,Low Risk,Standard enrollment notification
11195,0.91,1,Low Risk,Standard enrollment notification
12942,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13111,0.97,1,Low Risk,Standard enrollment notification
14194,0.99,1,Low Risk,Standard enrollment notification
19609,0.99,1,Low Risk,Standard enrollment notification
15342,0.93,1,Low Risk,Standard enrollment notification
14554,1.0,1,Low Risk,Standard enrollment notification
15217,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
15283,0.98,1,Low Risk,Standard enrollment notification
12471,0.98,1,Low Risk,Standard enrollment notification
18978,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
15652,1.0,1,Low Risk,Standard enrollment notification
11491,1.0,1,Low Risk,Standard enrollment notification
16179,1.0,1,Low Risk,Standard enrollment notification
15192,1.0,1,Low Risk,Standard enrollment notification
13797,0.97,1,Low Risk,Standard enrollment notification
11078,0.98,1,Low Risk,Standard enrollment notification
10369,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12519,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
13814,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18407,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18261,1.0,1,Low Risk,Standard enrollment notification
14659,1.0,1,Low Risk,Standard enrollment notification
13692,1.0,1,Low Risk,Standard enrollment notification
19043,0.96,1,Low Risk,Standard enrollment notification
13643,0.95,1,Low Risk,Standard enrollment notification
17549,1.0,1,Low Risk,Standard enrollment notification
10824,0.89,1,Low Risk,Standard enrollment notification
10700,0.94,1,Low Risk,Standard enrollment notification
16565,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
16335,1.0,1,Low Risk,Standard enrollment notification
18221,1.0,1,Low Risk,Standard enrollment notification
11380,0.87,1,Low Risk,Standard enrollment notification
15787,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
13027,0.97,1,Low Risk,Standard enrollment notification
14249,1.0,1,Low Risk,Standard enrollment notification
13426,1.0,1,Low Risk,Standard enrollment notification
17230,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10229,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18731,1.0,1,Low Risk,Standard enrollment notification
13491,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19175,1.0,1,Low Risk,Standard enrollment notification
12473,1.0,1,Low Risk,Standard enrollment notification
11954,0.18,0,High Risk,Personalized phone call with HR and benefits explanation
19808,0.96,1,Low Risk,Standard enrollment notification
13632,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
17353,1.0,1,Low Risk,Standard enrollment notification
12260,0.98,1,Low Risk,Standard enrollment notification
18470,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
16966,0.99,1,Low Risk,Standard enrollment notification
18532,0.98,1,Low Risk,Standard enrollment notification
19327,1.0,1,Low Risk,Standard enrollment notification
17097,1.0,1,Low Risk,Standard enrollment notification
13102,0.98,1,Low Risk,Standard enrollment notification
17300,1.0,1,Low Risk,Standard enrollment notification
15243,1.0,1,Low Risk,Standard enrollment notification
13120,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
10931,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11599,0.99,1,Low Risk,Standard enrollment notification
14818,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16161,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17381,1.0,1,Low Risk,Standard enrollment notification
17070,0.96,1,Low Risk,Standard enrollment notification
14369,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
15548,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12187,0.89,1,Low Risk,Standard enrollment notification
16495,1.0,1,Low Risk,Standard enrollment notification
13417,0.92,1,Low Risk,Standard enrollment notification
15251,0.98,1,Low Risk,Standard enrollment notification
12947,0.99,1,Low Risk,Standard enrollment notification
11377,0.99,1,Low Risk,Standard enrollment notification
15977,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14916,0.95,1,Low Risk,Standard enrollment notification
15273,1.0,1,Low Risk,Standard enrollment notification
10058,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17647,0.98,1,Low Risk,Standard enrollment notification
19859,0.98,1,Low Risk,Standard enrollment notification
15636,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19294,0.16,0,High Risk,Personalized phone call with HR and benefits explanation
12064,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
17512,0.76,1,Low Risk,Standard enrollment notification
16613,1.0,1,Low Risk,Standard enrollment notification
19774,1.0,1,Low Risk,Standard enrollment notification
13225,1.0,1,Low Risk,Standard enrollment notification
14117,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12371,0.89,1,Low Risk,Standard enrollment notification
16059,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14113,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19121,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12277,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
19877,0.99,1,Low Risk,Standard enrollment notification
11794,0.97,1,Low Risk,Standard enrollment notification
16853,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
15054,1.0,1,Low Risk,Standard enrollment notification
12266,1.0,1,Low Risk,Standard enrollment notification
14114,0.99,1,Low Risk,Standard enrollment notification
19757,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19035,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
13185,1.0,1,Low Risk,Standard enrollment notification
10042,1.0,1,Low Risk,Standard enrollment notification
15129,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
10839,0.98,1,Low Risk,Standard enrollment notification
16068,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
18788,1.0,1,Low Risk,Standard enrollment notification
12183,1.0,1,Low Risk,Standard enrollment notification
11730,0.97,1,Low Risk,Standard enrollment notification
14684,1.0,1,Low Risk,Standard enrollment notification
18489,1.0,1,Low Risk,Standard enrollment notification
15331,0.93,1,Low Risk,Standard enrollment notification
13759,0.99,1,Low Risk,Standard enrollment notification
17170,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
12971,1.0,1,Low Risk,Standard enrollment notification
16736,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
13191,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17513,0.99,1,Low Risk,Standard enrollment notification
12080,1.0,1,Low Risk,Standard enrollment notification
16099,1.0,1,Low Risk,Standard enrollment notification
11765,0.99,1,Low Risk,Standard enrollment notification
14810,0.4,0,Medium Risk,Reminder email with enrollment benefits
17350,0.98,1,Low Risk,Standard enrollment notification
13538,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
10196,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
12017,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18512,0.99,1,Low Risk,Standard enrollment notification
11448,0.94,1,Low Risk,Standard enrollment notification
14265,1.0,1,Low Risk,Standard enrollment notification
10094,1.0,1,Low Risk,Standard enrollment notification
12327,1.0,1,Low Risk,Standard enrollment notification
11645,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
19269,0.98,1,Low Risk,Standard enrollment notification
13152,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
16037,0.99,1,Low Risk,Standard enrollment notification
13412,1.0,1,Low Risk,Standard enrollment notification
10773,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16564,1.0,1,Low Risk,Standard enrollment notification
12623,1.0,1,Low Risk,Standard enrollment notification
19956,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14130,0.99,1,Low Risk,Standard enrollment notification
11988,0.99,1,Low Risk,Standard enrollment notification
10475,1.0,1,Low Risk,Standard enrollment notification
13154,0.95,1,Low Risk,Standard enrollment notification
13466,0.98,1,Low Risk,Standard enrollment notification
10398,0.94,1,Low Risk,Standard enrollment notification
18230,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
12944,1.0,1,Low Risk,Standard enrollment notification
14466,0.99,1,Low Risk,Standard enrollment notification
15027,0.92,1,Low Risk,Standard enrollment notification
15482,0.98,1,Low Risk,Standard enrollment notification
12237,1.0,1,Low Risk,Standard enrollment notification
19660,0.9,1,Low Risk,Standard enrollment notification
16331,1.0,1,Low Risk,Standard enrollment notification
12048,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18276,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19120,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
18323,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
18251,1.0,1,Low Risk,Standard enrollment notification
11766,0.89,1,Low Risk,Standard enrollment notification
14813,1.0,1,Low Risk,Standard enrollment notification
13217,0.18,0,High Risk,Personalized phone call with HR and benefits explanation
15840,0.97,1,Low Risk,Standard enrollment notification
12221,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
11690,1.0,1,Low Risk,Standard enrollment notification
16758,0.95,1,Low Risk,Standard enrollment notification
16859,0.97,1,Low Risk,Standard enrollment notification
17634,0.96,1,Low Risk,Standard enrollment notification
16078,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
16130,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13139,1.0,1,Low Risk,Standard enrollment notification
15750,0.99,1,Low Risk,Standard enrollment notification
19472,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
11239,0.98,1,Low Risk,Standard enrollment notification
18776,1.0,1,Low Risk,Standard enrollment notification
16260,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
18836,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
12514,1.0,1,Low Risk,Standard enrollment notification
18352,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12463,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
17795,1.0,1,Low Risk,Standard enrollment notification
11837,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19249,0.99,1,Low Risk,Standard enrollment notification
16378,1.0,1,Low Risk,Standard enrollment notification
15811,1.0,1,Low Risk,Standard enrollment notification
10161,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13633,1.0,1,Low Risk,Standard enrollment notification
19734,1.0,1,Low Risk,Standard enrollment notification
11972,1.0,1,Low Risk,Standard enrollment notification
15444,0.99,1,Low Risk,Standard enrollment notification
13931,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13861,0.98,1,Low Risk,Standard enrollment notification
14546,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
17442,1.0,1,Low Risk,Standard enrollment notification
13092,0.92,1,Low Risk,Standard enrollment notification
15383,0.97,1,Low Risk,Standard enrollment notification
15841,0.85,1,Low Risk,Standard enrollment notification
18374,0.94,1,Low Risk,Standard enrollment notification
13557,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
16090,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17809,1.0,1,Low Risk,Standard enrollment notification
14323,0.97,1,Low Risk,Standard enrollment notification
19288,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10445,0.24,0,High Risk,Personalized phone call with HR and benefits explanation
10641,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13372,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13257,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
13887,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
12607,0.99,1,Low Risk,Standard enrollment notification
13488,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12922,0.98,1,Low Risk,Standard enrollment notification
11154,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13586,1.0,1,Low Risk,Standard enrollment notification
13589,0.98,1,Low Risk,Standard enrollment notification
13422,0.99,1,Low Risk,Standard enrollment notification
13199,1.0,1,Low Risk,Standard enrollment notification
17514,0.15,0,High Risk,Personalized phone call with HR and benefits explanation
15352,0.99,1,Low Risk,Standard enrollment notification
11182,0.95,1,Low Risk,Standard enrollment notification
14832,1.0,1,Low Risk,Standard enrollment notification
16667,0.99,1,Low Risk,Standard enrollment notification
15278,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10322,0.97,1,Low Risk,Standard enrollment notification
17430,0.99,1,Low Risk,Standard enrollment notification
18748,0.97,1,Low Risk,Standard enrollment notification
13819,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
18329,1.0,1,Low Risk,Standard enrollment notification
14225,0.98,1,Low Risk,Standard enrollment notification
10637,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
12469,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
12385,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
17469,1.0,1,Low Risk,Standard enrollment notification
10280,0.99,1,Low Risk,Standard enrollment notification
15163,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
19422,0.94,1,Low Risk,Standard enrollment notification
17337,1.0,1,Low Risk,Standard enrollment notification
12798,0.13,0,High Risk,Personalized phone call with HR and benefits explanation
11821,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
19304,0.98,1,Low Risk,Standard enrollment notification
17619,1.0,1,Low Risk,Standard enrollment notification
19287,1.0,1,Low Risk,Standard enrollment notification
11144,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11295,0.9,1,Low Risk,Standard enrollment notification
18186,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
15661,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
15085,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
10914,1.0,1,Low Risk,Standard enrollment notification
13700,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19154,1.0,1,Low Risk,Standard enrollment notification
12841,0.97,1,Low Risk,Standard enrollment notification
19753,0.99,1,Low Risk,Standard enrollment notification
10121,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14073,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12436,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
11587,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
18589,0.98,1,Low Risk,Standard enrollment notification
16425,0.94,1,Low Risk,Standard enrollment notification
14134,1.0,1,Low Risk,Standard enrollment notification
19156,1.0,1,Low Risk,Standard enrollment notification
14514,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10112,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
11247,1.0,1,Low Risk,Standard enrollment notification
13656,0.97,1,Low Risk,Standard enrollment notification
19596,0.96,1,Low Risk,Standard enrollment notification
13227,0.99,1,Low Risk,Standard enrollment notification
11245,1.0,1,Low Risk,Standard enrollment notification
12582,0.98,1,Low Risk,Standard enrollment notification
14342,1.0,1,Low Risk,Standard enrollment notification
19784,0.96,1,Low Risk,Standard enrollment notification
19763,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
11848,1.0,1,Low Risk,Standard enrollment notification
13620,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
19720,0.98,1,Low Risk,Standard enrollment notification
11296,1.0,1,Low Risk,Standard enrollment notification
16719,0.96,1,Low Risk,Standard enrollment notification
19851,0.91,1,Low Risk,Standard enrollment notification
12772,1.0,1,Low Risk,Standard enrollment notification
13429,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14290,0.98,1,Low Risk,Standard enrollment notification
11727,0.15,0,High Risk,Personalized phone call with HR and benefits explanation
14443,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19328,1.0,1,Low Risk,Standard enrollment notification
15965,0.96,1,Low Risk,Standard enrollment notification
10036,1.0,1,Low Risk,Standard enrollment notification
13837,1.0,1,Low Risk,Standard enrollment notification
13445,0.93,1,Low Risk,Standard enrollment notification
14728,0.96,1,Low Risk,Standard enrollment notification
11722,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
17967,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19407,0.98,1,Low Risk,Standard enrollment notification
12130,0.98,1,Low Risk,Standard enrollment notification
10849,0.99,1,Low Risk,Standard enrollment notification
16522,0.99,1,Low Risk,Standard enrollment notification
11633,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11395,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
14302,0.92,1,Low Risk,Standard enrollment notification
13534,0.99,1,Low Risk,Standard enrollment notification
11619,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15087,0.99,1,Low Risk,Standard enrollment notification
12993,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
11896,1.0,1,Low Risk,Standard enrollment notification
11543,0.99,1,Low Risk,Standard enrollment notification
10680,1.0,1,Low Risk,Standard enrollment notification
11728,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13812,0.88,1,Low Risk,Standard enrollment notification
17665,0.07,0,High Risk,Personalized phone call with HR and benefits explanation
17051,0.96,1,Low Risk,Standard enrollment notification
10628,0.98,1,Low Risk,Standard enrollment notification
16530,0.96,1,Low Risk,Standard enrollment notification
17703,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
17668,0.19,0,High Risk,Personalized phone call with HR and benefits explanation
15095,0.93,1,Low Risk,Standard enrollment notification
16043,0.04,0,High Risk,Personalized phone call with HR and benefits explanation
13402,0.98,1,Low Risk,Standard enrollment notification
13816,1.0,1,Low Risk,Standard enrollment notification
18165,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15106,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10449,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
10208,0.08,0,High Risk,Personalized phone call with HR and benefits explanation
15213,0.98,1,Low Risk,Standard enrollment notification
15150,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
14976,1.0,1,Low Risk,Standard enrollment notification
10982,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18162,1.0,1,Low Risk,Standard enrollment notification
14751,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16902,1.0,1,Low Risk,Standard enrollment notification
19228,1.0,1,Low Risk,Standard enrollment notification
12981,0.99,1,Low Risk,Standard enrollment notification
19831,0.99,1,Low Risk,Standard enrollment notification
17719,1.0,1,Low Risk,Standard enrollment notification
16788,0.91,1,Low Risk,Standard enrollment notification
19607,1.0,1,Low Risk,Standard enrollment notification
15073,0.33,0,Medium Risk,Reminder email with enrollment benefits
15462,1.0,1,Low Risk,Standard enrollment notification
14908,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19085,0.95,1,Low Risk,Standard enrollment notification
18250,0.98,1,Low Risk,Standard enrollment notification
19952,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
11267,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
13477,1.0,1,Low Risk,Standard enrollment notification
12849,1.0,1,Low Risk,Standard enrollment notification
18097,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19247,0.97,1,Low Risk,Standard enrollment notification
11771,0.99,1,Low Risk,Standard enrollment notification
19643,1.0,1,Low Risk,Standard enrollment notification
14623,1.0,1,Low Risk,Standard enrollment notification
12020,0.99,1,Low Risk,Standard enrollment notification
17342,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15111,1.0,1,Low Risk,Standard enrollment notification
16927,0.97,1,Low Risk,Standard enrollment notification
18468,1.0,1,Low Risk,Standard enrollment notification
12974,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16395,0.09,0,High Risk,Personalized phone call with HR and benefits explanation
11586,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19714,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
17734,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
16458,0.97,1,Low Risk,Standard enrollment notification
19384,0.94,1,Low Risk,Standard enrollment notification
18766,0.97,1,Low Risk,Standard enrollment notification
11053,0.1,0,High Risk,Personalized phone call with HR and benefits explanation
17711,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16294,1.0,1,Low Risk,Standard enrollment notification
14534,0.98,1,Low Risk,Standard enrollment notification
16843,0.99,1,Low Risk,Standard enrollment notification
13527,0.95,1,Low Risk,Standard enrollment notification
13050,1.0,1,Low Risk,Standard enrollment notification
15272,0.99,1,Low Risk,Standard enrollment notification
12109,0.96,1,Low Risk,Standard enrollment notification
11086,0.99,1,Low Risk,Standard enrollment notification
18831,1.0,1,Low Risk,Standard enrollment notification
18201,0.98,1,Low Risk,Standard enrollment notification
10767,0.96,1,Low Risk,Standard enrollment notification
11747,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
19906,1.0,1,Low Risk,Standard enrollment notification
11009,0.99,1,Low Risk,Standard enrollment notification
15374,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10623,0.99,1,Low Risk,Standard enrollment notification
16156,1.0,1,Low Risk,Standard enrollment notification
13929,0.99,1,Low Risk,Standard enrollment notification
15780,1.0,1,Low Risk,Standard enrollment notification
18234,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
15971,0.93,1,Low Risk,Standard enrollment notification
15866,0.97,1,Low Risk,Standard enrollment notification
14994,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
13357,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13508,0.99,1,Low Risk,Standard enrollment notification
14895,1.0,1,Low Risk,Standard enrollment notification
17820,0.99,1,Low Risk,Standard enrollment notification
19494,0.95,1,Low Risk,Standard enrollment notification
13431,0.98,1,Low Risk,Standard enrollment notification
18624,0.98,1,Low Risk,Standard enrollment notification
12792,0.05,0,High Risk,Personalized phone call with HR and benefits explanation
12622,0.06,0,High Risk,Personalized phone call with HR and benefits explanation
16219,0.96,1,Low Risk,Standard enrollment notification
17850,0.99,1,Low Risk,Standard enrollment notification
13616,1.0,1,Low Risk,Standard enrollment notification
14638,0.99,1,Low Risk,Standard enrollment notification
11963,0.99,1,Low Risk,Standard enrollment notification
16101,0.99,1,Low Risk,Standard enrollment notification
18809,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
18030,0.98,1,Low Risk,Standard enrollment notification
17248,0.77,1,Low Risk,Standard enrollment notification
14061,0.95,1,Low Risk,Standard enrollment notification
15719,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
14609,1.0,1,Low Risk,Standard enrollment notification
16844,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
15614,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13943,0.11,0,High Risk,Personalized phone call with HR and benefits explanation
19585,1.0,1,Low Risk,Standard enrollment notification
16149,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
10692,1.0,1,Low Risk,Standard enrollment notification
14823,0.03,0,High Risk,Personalized phone call with HR and benefits explanation
12480,0.99,1,Low Risk,Standard enrollment notification
11456,0.99,1,Low Risk,Standard enrollment notification
15427,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
15455,1.0,1,Low Risk,Standard enrollment notification
15013,0.12,0,High Risk,Personalized phone call with HR and benefits explanation
17677,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13979,0.95,1,Low Risk,Standard enrollment notification
16876,1.0,1,Low Risk,Standard enrollment notification
15365,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
12027,1.0,1,Low Risk,Standard enrollment notification
16404,0.92,1,Low Risk,Standard enrollment notification
11601,0.01,0,High Risk,Personalized phone call with HR and benefits explanation
19388,1.0,1,Low Risk,Standard enrollment notification
13342,1.0,1,Low Risk,Standard enrollment notification
11049,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
16330,0.88,1,Low Risk,Standard enrollment notification
16307,0.02,0,High Risk,Personalized phone call with HR and benefits explanation
16139,0.98,1,Low Risk,Standard enrollment notification
16429,0.98,1,Low Risk,Standard enrollment notification
15211,0.76,1,Low Risk,Standard enrollment notification
10799,0.0,0,High Risk,Personalized phone call with HR and benefits explanation
13666,0.99,1,Low Risk,Standard enrollment notification
12957,0.99,1,Low Risk,Standard enrollment notification
